CustomerID,recency,frequency,monetary,R-Score,F-Score,M-Score,RFM_Score,Segment,Cluster,Cluster_Name,Churn_Risk
12380,22,11,9676.300000000001,4,5,5,14,Champions,1,Active Regular,0.028455284552845527
12381,5,5,1845.31,5,4,4,13,Champions,1,Active Regular,0.005420054200542005
12383,185,5,1850.56,3,4,4,11,Loyal,1,Active Regular,0.24932249322493225
12384,29,2,585.27,4,2,2,8,At Risk,1,Active Regular,0.037940379403794036
12385,379,1,1938.4,2,1,4,7,At Risk,0,Churned,0.5121951219512195
12386,338,2,401.9,2,2,2,6,At Risk,0,Churned,0.45663956639566394
12387,415,1,143.94,1,1,1,3,Lost,0,Churned,0.5609756097560976
12388,16,8,3901.11,5,4,5,14,Champions,1,Active Regular,0.02032520325203252
12389,403,3,1433.33,2,3,4,9,Loyal,0,Churned,0.5447154471544715
12390,80,1,549.84,3,1,2,6,At Risk,1,Active Regular,0.1070460704607046
12391,22,6,2724.84,4,4,4,12,Champions,1,Active Regular,0.028455284552845527
12392,591,1,234.75000000000003,1,1,1,3,Lost,0,Churned,0.7994579945799458
12393,72,6,2399.45,3,4,4,11,Loyal,1,Active Regular,0.09620596205962059
12394,64,2,1272.48,3,2,4,9,Loyal,1,Active Regular,0.08536585365853659
12395,19,15,4721.17,5,5,5,15,Champions,1,Active Regular,0.024390243902439025
12396,674,1,931.4300000000001,1,1,3,5,Lost,0,Churned,0.9119241192411924
12397,36,2,2409.9,4,2,4,10,Loyal,1,Active Regular,0.04742547425474255
12398,46,1,1635.6599999999999,4,1,4,9,Loyal,1,Active Regular,0.06097560975609756
12399,119,7,1962.3,3,4,4,11,Loyal,1,Active Regular,0.15989159891598917
12400,414,1,205.25,1,1,1,3,Lost,0,Churned,0.559620596205962
12401,303,1,84.3,2,1,1,4,Lost,0,Churned,0.4092140921409214
12402,323,6,1256.9,2,4,4,10,Loyal,0,Churned,0.4363143631436314
12403,50,2,1019.36,4,2,3,9,Loyal,1,Active Regular,0.06639566395663957
12404,682,1,63.24,1,1,1,3,Lost,0,Churned,0.9227642276422764
12405,149,1,1710.39,3,1,4,8,At Risk,1,Active Regular,0.2005420054200542
12406,22,5,6390.36,4,4,5,13,Champions,1,Active Regular,0.028455284552845527
12407,50,5,1708.12,4,4,4,12,Champions,1,Active Regular,0.06639566395663957
12408,33,8,4340.77,4,4,5,13,Champions,1,Active Regular,0.04336043360433604
12409,79,7,23419.29,3,4,5,12,Champions,2,High Value,0.10569105691056911
12410,309,3,1013.71,2,3,3,8,At Risk,0,Churned,0.4173441734417344
12411,410,1,346.9,2,1,2,5,Lost,0,Churned,0.55420054200542
12412,75,6,2596.93,3,4,4,11,Loyal,1,Active Regular,0.1002710027100271
12413,67,4,999.45,3,3,3,9,Loyal,1,Active Regular,0.08943089430894309
12414,217,6,952.4100000000001,2,4,3,9,Loyal,1,Active Regular,0.2926829268292683
12415,24,28,144458.37,4,5,5,14,Champions,2,High Value,0.03116531165311653
12416,657,1,202.56,1,1,1,3,Lost,0,Churned,0.8888888888888888
12417,3,20,6797.41,5,5,5,15,Champions,1,Active Regular,0.0027100271002710027
12418,113,4,2021.2,3,3,4,10,Loyal,1,Active Regular,0.15176151761517614
12419,386,2,503.01,2,2,2,6,At Risk,0,Churned,0.521680216802168
12420,64,1,600.39,3,1,2,6,At Risk,1,Active Regular,0.08536585365853659
12421,16,6,1098.6,5,4,3,12,Champions,1,Active Regular,0.02032520325203252
12422,96,17,5231.8,3,5,5,13,Champions,1,Active Regular,0.12872628726287264
12423,1,10,2622.39,5,5,4,14,Champions,1,Active Regular,0.0
12424,163,4,3340.0299999999997,3,3,5,11,Loyal,1,Active Regular,0.21951219512195122
12425,78,2,1741.41,3,2,4,9,Loyal,1,Active Regular,0.1043360433604336
12426,195,2,1345.21,2,2,4,8,At Risk,1,Active Regular,0.26287262872628725
12427,22,3,825.8000000000001,4,3,3,10,Loyal,1,Active Regular,0.028455284552845527
12428,26,9,7956.46,4,5,5,14,Champions,1,Active Regular,0.03387533875338753
12429,9,8,6204.41,5,4,5,14,Champions,1,Active Regular,0.01084010840108401
12430,43,1,256.4,4,1,1,6,At Risk,1,Active Regular,0.056910569105691054
12431,36,27,10432.220000000001,4,5,5,14,Champions,2,High Value,0.04742547425474255
12432,43,5,5059.32,4,4,5,13,Champions,1,Active Regular,0.056910569105691054
12433,1,10,16794.14,5,5,5,15,Champions,2,High Value,0.0
12434,85,3,1103.43,3,3,3,9,Loyal,1,Active Regular,0.11382113821138211
12435,80,6,13925.93,3,4,5,12,Champions,1,Active Regular,0.1070460704607046
12436,100,1,509.01,3,1,2,6,At Risk,1,Active Regular,0.13414634146341464
12437,2,39,12683.4,5,5,5,15,Champions,2,High Value,0.0013550135501355014
12438,14,2,2906.85,5,2,5,12,Champions,1,Active Regular,0.017615176151761516
12439,683,2,1142.88,1,2,3,6,At Risk,0,Churned,0.924119241192412
12440,462,2,859.2,1,2,3,6,At Risk,0,Churned,0.6246612466124661
12441,367,1,173.55,2,1,1,4,Lost,0,Churned,0.4959349593495935
12442,3,1,172.06,5,1,1,7,At Risk,1,Active Regular,0.0027100271002710027
12443,732,1,485.31,1,1,2,4,Lost,0,Churned,0.9905149051490515
12444,21,5,5005.46,4,4,5,13,Champions,1,Active Regular,0.02710027100271003
12445,22,2,434.98,4,2,2,8,At Risk,1,Active Regular,0.028455284552845527
12446,58,1,1002.3100000000001,4,1,3,8,At Risk,1,Active Regular,0.07723577235772358
12447,243,1,476.49,2,1,2,5,Lost,0,Churned,0.32791327913279134
12448,44,1,449.45,4,1,2,7,At Risk,1,Active Regular,0.058265582655826556
12449,22,6,4835.89,4,4,5,13,Champions,1,Active Regular,0.028455284552845527
12450,156,5,688.2,3,4,3,10,Loyal,1,Active Regular,0.21002710027100271
12451,11,8,12669.88,5,4,5,14,Champions,1,Active Regular,0.013550135501355014
12452,17,2,430.57000000000005,5,2,2,9,Loyal,1,Active Regular,0.02168021680216802
12453,134,1,707.09,3,1,3,7,At Risk,1,Active Regular,0.1802168021680217
12454,56,5,16679.78,4,4,5,13,Champions,2,High Value,0.07452574525745258
12455,73,10,5879.95,3,5,5,13,Champions,1,Active Regular,0.0975609756097561
12456,44,3,3181.04,4,3,5,12,Champions,1,Active Regular,0.058265582655826556
12457,66,8,2995.91,3,4,5,12,Champions,1,Active Regular,0.08807588075880758
12458,71,4,1777.49,3,3,4,10,Loyal,1,Active Regular,0.0948509485094851
12459,605,1,454.36,1,1,2,4,Lost,0,Churned,0.8184281842818428
12460,456,1,326.65,1,1,2,4,Lost,0,Churned,0.6165311653116531
12461,94,2,826.88,3,2,3,8,At Risk,1,Active Regular,0.12601626016260162
12462,19,2,1189.59,5,2,3,10,Loyal,1,Active Regular,0.024390243902439025
12463,53,4,1344.78,4,3,4,11,Loyal,1,Active Regular,0.07046070460704607
12464,10,8,1212.05,5,4,3,12,Champions,1,Active Regular,0.012195121951219513
12465,17,2,742.19,5,2,3,10,Loyal,1,Active Regular,0.02168021680216802
12466,682,1,56.73,1,1,1,3,Lost,0,Churned,0.9227642276422764
12467,423,1,132.8,1,1,1,3,Lost,0,Churned,0.5718157181571816
12468,188,5,3670.7400000000002,3,4,5,12,Champions,1,Active Regular,0.25338753387533874
12469,523,2,3070.54,1,2,5,8,At Risk,0,Churned,0.7073170731707317
12470,690,1,211.95,1,1,1,3,Lost,0,Churned,0.9336043360433605
12471,2,79,39918.19,5,5,5,15,Champions,2,High Value,0.0013550135501355014
12472,32,19,16249.29,4,5,5,14,Champions,2,High Value,0.04200542005420054
12473,29,5,3928.05,4,4,5,13,Champions,1,Active Regular,0.037940379403794036
12474,17,31,12372.75,5,5,5,15,Champions,2,High Value,0.02168021680216802
12475,54,2,1149.64,4,2,3,9,Loyal,1,Active Regular,0.07181571815718157
12476,16,23,14083.91,5,5,5,15,Champions,2,High Value,0.02032520325203252
12477,23,9,20276.37,4,5,5,14,Champions,2,High Value,0.02981029810298103
12478,4,1,680.99,5,1,3,9,Loyal,1,Active Regular,0.0040650406504065045
12479,11,1,527.2,5,1,2,8,At Risk,1,Active Regular,0.013550135501355014
12480,28,7,5464.85,4,4,5,13,Champions,1,Active Regular,0.036585365853658534
12481,23,15,12185.51,4,5,5,14,Champions,2,High Value,0.02981029810298103
12482,576,29,23691.4,1,5,5,11,Loyal,2,High Value,0.7791327913279132
12483,17,19,5097.18,5,5,5,15,Champions,1,Active Regular,0.02168021680216802
12484,33,12,6354.1,4,5,5,14,Champions,1,Active Regular,0.04336043360433604
12485,529,1,708.1,1,1,3,5,Lost,0,Churned,0.7154471544715447
12486,432,1,1037.28,1,1,3,5,Lost,0,Churned,0.5840108401084011
12487,731,1,285.3,1,1,1,3,Lost,0,Churned,0.989159891598916
12488,10,3,1298.66,5,3,4,12,Champions,1,Active Regular,0.012195121951219513
12489,336,1,334.93,2,1,2,5,Lost,0,Churned,0.453929539295393
12490,5,21,9823.64,5,5,5,15,Champions,2,High Value,0.005420054200542005
12491,39,1,460.40000000000003,4,1,2,7,At Risk,1,Active Regular,0.051490514905149054
12492,63,3,715.21,3,3,3,9,Loyal,1,Active Regular,0.08401084010840108
12493,166,2,433.74,3,2,2,7,At Risk,1,Active Regular,0.22357723577235772
12494,16,9,1815.27,5,5,4,14,Champions,1,Active Regular,0.02032520325203252
12495,641,1,357.4,1,1,2,4,Lost,0,Churned,0.8672086720867209
12496,620,2,45.34,1,2,1,4,Lost,0,Churned,0.8387533875338753
12497,82,3,6248.5,3,3,5,11,Loyal,1,Active Regular,0.10975609756097561
12498,21,3,403.70000000000005,4,3,2,9,Loyal,1,Active Regular,0.02710027100271003
12499,560,1,393.72,1,1,2,4,Lost,0,Churned,0.7574525745257452
12500,23,19,5955.21,4,5,5,14,Champions,1,Active Regular,0.02981029810298103
12501,337,1,2169.39,2,1,4,7,At Risk,0,Churned,0.45528455284552843
12502,96,5,3723.87,3,4,5,12,Champions,1,Active Regular,0.12872628726287264
12503,584,1,1126.0,1,1,3,5,Lost,0,Churned,0.7899728997289973
12504,18,4,779.05,5,3,3,11,Loyal,1,Active Regular,0.023035230352303523
12505,409,1,955.2,2,1,3,6,At Risk,0,Churned,0.5528455284552846
12506,233,1,73.5,2,1,1,4,Lost,1,Active Regular,0.3143631436314363
12507,134,4,1844.06,3,3,4,10,Loyal,1,Active Regular,0.1802168021680217
12508,26,2,397.88,4,2,2,8,At Risk,1,Active Regular,0.03387533875338753
12509,284,1,176.5,2,1,1,4,Lost,0,Churned,0.38346883468834686
12510,143,9,5178.02,3,5,5,13,Champions,1,Active Regular,0.19241192411924118
12511,429,1,3084.02,1,1,5,7,At Risk,0,Churned,0.5799457994579946
12512,66,2,132.18,3,2,1,6,At Risk,1,Active Regular,0.08807588075880758
12513,113,1,612.29,3,1,3,7,At Risk,1,Active Regular,0.15176151761517614
12514,267,2,1597.76,2,2,4,8,At Risk,0,Churned,0.3604336043360434
12515,353,1,383.7,2,1,2,5,Lost,0,Churned,0.47696476964769646
12516,78,4,2648.62,3,3,4,10,Loyal,1,Active Regular,0.1043360433604336
12517,28,5,2481.6,4,4,4,12,Champions,1,Active Regular,0.036585365853658534
12518,1,5,2056.89,5,4,4,13,Champions,1,Active Regular,0.0
12519,64,2,716.54,3,2,3,8,At Risk,1,Active Regular,0.08536585365853659
12520,79,5,2634.26,3,4,4,11,Loyal,1,Active Regular,0.10569105691056911
12521,143,1,599.68,3,1,2,6,At Risk,1,Active Regular,0.19241192411924118
12522,39,2,192.72,4,2,1,7,At Risk,1,Active Regular,0.051490514905149054
12523,19,23,4352.35,5,5,5,15,Champions,1,Active Regular,0.024390243902439025
12524,9,17,11126.11,5,5,5,15,Champions,2,High Value,0.01084010840108401
12525,498,3,973.73,1,3,3,7,At Risk,0,Churned,0.6734417344173442
12526,1,3,1316.66,5,3,4,12,Champions,1,Active Regular,0.0
12527,82,5,735.51,3,4,3,10,Loyal,1,Active Regular,0.10975609756097561
12528,9,6,1933.48,5,4,4,13,Champions,1,Active Regular,0.01084010840108401
12529,528,1,316.48,1,1,2,4,Lost,0,Churned,0.7140921409214093
12530,60,9,3759.26,3,5,5,13,Champions,1,Active Regular,0.07994579945799458
12531,15,2,1933.2,5,2,4,11,Loyal,1,Active Regular,0.018970189701897018
12532,30,1,349.83000000000004,4,1,2,7,At Risk,1,Active Regular,0.03929539295392954
12533,628,2,1367.89,1,2,4,7,At Risk,0,Churned,0.8495934959349594
12534,131,1,1089.18,3,1,3,7,At Risk,1,Active Regular,0.17615176151761516
12535,92,2,716.35,3,2,3,8,At Risk,1,Active Regular,0.12330623306233063
12536,43,3,12601.830000000002,4,3,5,12,Champions,1,Active Regular,0.056910569105691054
12537,409,1,732.94,2,1,3,6,At Risk,0,Churned,0.5528455284552846
12538,29,2,640.45,4,2,3,9,Loyal,1,Active Regular,0.037940379403794036
12539,22,7,11214.75,4,4,5,13,Champions,1,Active Regular,0.028455284552845527
12540,20,33,22254.49,4,5,5,14,Champions,2,High Value,0.025745257452574527
12541,30,3,981.18,4,3,3,10,Loyal,1,Active Regular,0.03929539295392954
12542,484,2,481.88,1,2,2,5,Lost,0,Churned,0.6544715447154471
12543,448,1,980.25,1,1,3,5,Lost,0,Churned,0.6056910569105691
12544,36,1,372.7,4,1,2,7,At Risk,1,Active Regular,0.04742547425474255
12545,75,2,1000.39,3,2,3,8,At Risk,1,Active Regular,0.1002710027100271
12546,47,2,1161.5,4,2,3,9,Loyal,1,Active Regular,0.06233062330623306
12547,198,3,383.58,2,3,2,7,At Risk,1,Active Regular,0.2669376693766938
12548,166,1,95.19999999999999,3,1,1,5,Lost,1,Active Regular,0.22357723577235772
12549,576,6,1575.68,1,4,4,9,Loyal,0,Churned,0.7791327913279132
12550,79,1,964.83,3,1,3,7,At Risk,1,Active Regular,0.10569105691056911
12551,358,1,168.0,2,1,1,4,Lost,0,Churned,0.483739837398374
12552,39,2,437.82,4,2,2,8,At Risk,1,Active Regular,0.051490514905149054
12553,8,12,4608.75,5,5,5,15,Champions,1,Active Regular,0.009485094850948509
12554,449,1,468.5,1,1,2,4,Lost,0,Churned,0.6070460704607046
12555,682,1,129.23,1,1,1,3,Lost,0,Churned,0.9227642276422764
12556,50,2,599.56,4,2,2,8,At Risk,1,Active Regular,0.06639566395663957
12557,16,8,18096.14,5,4,5,14,Champions,2,High Value,0.02032520325203252
12558,8,1,269.96,5,1,1,7,At Risk,1,Active Regular,0.009485094850948509
12559,311,2,561.71,2,2,2,6,At Risk,0,Churned,0.42005420054200543
12560,5,3,2134.01,5,3,4,12,Champions,1,Active Regular,0.005420054200542005
12561,303,1,238.85,2,1,1,4,Lost,0,Churned,0.4092140921409214
12562,8,9,4966.92,5,5,5,15,Champions,1,Active Regular,0.009485094850948509
12563,409,1,249.24,2,1,1,4,Lost,0,Churned,0.5528455284552846
12564,261,1,456.90000000000003,2,1,2,5,Lost,0,Churned,0.3523035230352303
12565,289,1,145.92000000000002,2,1,1,4,Lost,0,Churned,0.3902439024390244
12566,86,1,351.65,3,1,2,6,At Risk,1,Active Regular,0.11517615176151762
12567,23,15,11767.48,4,5,5,14,Champions,2,High Value,0.02981029810298103
12568,645,1,70.0,1,1,1,3,Lost,0,Churned,0.8726287262872628
12569,2,32,4124.6900000000005,5,5,5,15,Champions,2,High Value,0.0013550135501355014
12570,682,1,77.52,1,1,1,3,Lost,0,Churned,0.9227642276422764
12571,40,2,519.61,4,2,2,8,At Risk,1,Active Regular,0.052845528455284556
12572,9,2,1020.4200000000001,5,2,3,10,Loyal,1,Active Regular,0.01084010840108401
12573,227,5,717.41,2,4,3,9,Loyal,1,Active Regular,0.3062330623306233
12574,316,1,218.45000000000002,2,1,1,4,Lost,0,Churned,0.4268292682926829
12575,457,2,622.82,1,2,3,6,At Risk,0,Churned,0.6178861788617886
12576,36,8,2142.7200000000003,4,4,4,12,Champions,1,Active Regular,0.04742547425474255
12577,35,8,1617.1,4,4,4,12,Champions,1,Active Regular,0.04607046070460705
12578,21,4,4642.45,4,3,5,12,Champions,1,Active Regular,0.02710027100271003
12579,78,1,440.42,3,1,2,6,At Risk,1,Active Regular,0.1043360433604336
12580,247,2,1052.9,2,2,3,7,At Risk,1,Active Regular,0.3333333333333333
12581,40,1,197.71,4,1,1,6,At Risk,1,Active Regular,0.052845528455284556
12582,239,4,1980.4,2,3,4,9,Loyal,1,Active Regular,0.3224932249322493
12583,3,27,13591.58,5,5,5,15,Champions,2,High Value,0.0027100271002710027
12584,4,9,2338.15,5,5,4,14,Champions,1,Active Regular,0.0040650406504065045
12585,234,2,2040.1,2,2,4,8,At Risk,1,Active Regular,0.3157181571815718
12586,17,4,2062.67,5,3,4,12,Champions,1,Active Regular,0.02168021680216802
12587,8,1,144.0,5,1,1,7,At Risk,1,Active Regular,0.009485094850948509
12588,39,4,958.78,4,3,3,10,Loyal,1,Active Regular,0.051490514905149054
12589,29,8,4695.66,4,4,5,13,Champions,1,Active Regular,0.037940379403794036
12590,211,2,9864.26,2,2,5,9,Loyal,1,Active Regular,0.2845528455284553
12591,317,3,1338.95,2,3,4,9,Loyal,0,Churned,0.4281842818428184
12592,92,5,2582.66,3,4,4,11,Loyal,1,Active Regular,0.12330623306233063
12593,109,3,418.1,3,3,2,8,At Risk,1,Active Regular,0.14634146341463414
12594,38,15,5090.110000000001,4,5,5,14,Champions,1,Active Regular,0.05013550135501355
12595,505,1,299.02,1,1,2,4,Lost,0,Churned,0.6829268292682927
12596,51,2,618.27,4,2,3,9,Loyal,1,Active Regular,0.06775067750677506
12597,19,4,3811.22,5,3,5,13,Champions,1,Active Regular,0.024390243902439025
12598,10,11,4534.09,5,5,5,15,Champions,1,Active Regular,0.012195121951219513
12599,29,13,2296.72,4,5,4,13,Champions,1,Active Regular,0.037940379403794036
12600,29,21,4967.42,4,5,5,14,Champions,1,Active Regular,0.037940379403794036
12601,190,6,681.26,2,4,3,9,Loyal,1,Active Regular,0.25609756097560976
12602,59,1,153.12,4,1,1,6,At Risk,1,Active Regular,0.07859078590785908
12603,22,1,739.1999999999999,4,1,3,8,At Risk,1,Active Regular,0.028455284552845527
12604,79,2,254.18,3,2,1,6,At Risk,1,Active Regular,0.10569105691056911
12605,376,4,1232.95,2,3,4,9,Loyal,0,Churned,0.508130081300813
12606,682,1,21.0,1,1,1,3,Lost,0,Churned,0.9227642276422764
12607,60,1,1579.51,3,1,4,8,At Risk,1,Active Regular,0.07994579945799458
12608,405,1,415.79,2,1,2,5,Lost,0,Churned,0.5474254742547425
12609,78,9,3435.86,3,5,5,13,Champions,1,Active Regular,0.1043360433604336
12610,23,5,2099.54,4,4,4,12,Champions,1,Active Regular,0.02981029810298103
12611,52,1,1193.32,4,1,3,8,At Risk,1,Active Regular,0.06910569105691057
12612,74,1,704.04,3,1,3,7,At Risk,1,Active Regular,0.0989159891598916
12613,57,10,6817.37,4,5,5,14,Champions,1,Active Regular,0.07588075880758807
12614,278,1,315.6,2,1,2,5,Lost,0,Churned,0.37533875338753386
12615,2,8,5740.9800000000005,5,4,5,14,Champions,1,Active Regular,0.0013550135501355014
12616,95,3,1131.1,3,3,3,9,Loyal,1,Active Regular,0.12737127371273713
12617,29,1,352.98,4,1,2,7,At Risk,1,Active Regular,0.037940379403794036
12618,22,1,177.31,4,1,1,6,At Risk,1,Active Regular,0.028455284552845527
12619,16,10,3781.38,5,5,5,15,Champions,1,Active Regular,0.02032520325203252
12620,15,3,1339.41,5,3,4,12,Champions,1,Active Regular,0.018970189701897018
12621,2,35,24311.2,5,5,5,15,Champions,2,High Value,0.0013550135501355014
12622,232,1,180.1,2,1,1,4,Lost,1,Active Regular,0.3130081300813008
12623,276,7,3747.84,2,4,5,11,Loyal,1,Active Regular,0.37262872628726285
12624,106,2,641.13,3,2,3,8,At Risk,1,Active Regular,0.14227642276422764
12625,212,4,5164.88,2,3,5,10,Loyal,1,Active Regular,0.2859078590785908
12626,23,9,6620.4800000000005,4,5,5,14,Champions,1,Active Regular,0.02981029810298103
12627,11,7,4478.53,5,4,5,14,Champions,1,Active Regular,0.013550135501355014
12628,4,3,786.46,5,3,3,11,Loyal,1,Active Regular,0.0040650406504065045
12629,386,2,1558.22,2,2,4,8,At Risk,0,Churned,0.521680216802168
12630,10,2,1270.88,5,2,4,11,Loyal,1,Active Regular,0.012195121951219513
12631,57,6,3481.57,4,4,5,13,Champions,1,Active Regular,0.07588075880758807
12632,521,2,804.88,1,2,3,6,At Risk,0,Churned,0.7046070460704607
12633,59,7,5678.16,4,4,5,13,Champions,1,Active Regular,0.07859078590785908
12634,536,2,490.0,1,2,2,5,Lost,0,Churned,0.7249322493224932
12635,90,4,2930.41,3,3,5,11,Loyal,1,Active Regular,0.12059620596205962
12636,739,1,141.0,1,1,1,3,Lost,0,Churned,1.0
12637,67,12,8283.81,3,5,5,13,Champions,1,Active Regular,0.08943089430894309
12638,33,2,921.49,4,2,3,9,Loyal,1,Active Regular,0.04336043360433604
12639,239,3,1312.3700000000001,2,3,4,9,Loyal,1,Active Regular,0.3224932249322493
12640,24,3,1174.58,4,3,3,10,Loyal,1,Active Regular,0.03116531165311653
12641,115,1,185.9,3,1,1,5,Lost,1,Active Regular,0.15447154471544716
12642,25,3,1013.26,4,3,3,10,Loyal,1,Active Regular,0.032520325203252036
12643,128,12,8304.82,3,5,5,13,Champions,1,Active Regular,0.17208672086720866
12644,130,4,1918.49,3,3,4,10,Loyal,1,Active Regular,0.17479674796747968
12645,34,8,3539.3,4,4,5,13,Champions,1,Active Regular,0.044715447154471545
12646,5,2,1346.97,5,2,4,11,Loyal,1,Active Regular,0.005420054200542005
12647,22,36,16955.55,4,5,5,14,Champions,2,High Value,0.028455284552845527
12648,155,4,1112.0,3,3,3,9,Loyal,1,Active Regular,0.2086720867208672
12649,107,8,2294.65,3,4,4,11,Loyal,1,Active Regular,0.14363143631436315
12650,3,1,314.44,5,1,2,8,At Risk,1,Active Regular,0.0027100271002710027
12651,335,4,377.75,2,3,2,7,At Risk,0,Churned,0.45257452574525747
12652,331,2,1017.0300000000001,2,2,3,7,At Risk,0,Churned,0.44715447154471544
12653,149,3,4160.83,3,3,5,11,Loyal,1,Active Regular,0.2005420054200542
12654,11,5,601.98,5,4,2,11,Loyal,1,Active Regular,0.013550135501355014
12655,424,1,261.35,1,1,1,3,Lost,0,Churned,0.573170731707317
12656,17,8,6407.83,5,4,5,14,Champions,1,Active Regular,0.02168021680216802
12657,11,4,1643.18,5,3,4,12,Champions,1,Active Regular,0.013550135501355014
12658,19,1,686.05,5,1,3,9,Loyal,1,Active Regular,0.024390243902439025
12659,30,1,91.68,4,1,1,6,At Risk,1,Active Regular,0.03929539295392954
12660,11,1,245.10000000000002,5,1,1,7,At Risk,1,Active Regular,0.013550135501355014
12661,436,1,162.0,1,1,1,3,Lost,0,Churned,0.5894308943089431
12662,1,20,6726.54,5,5,5,15,Champions,1,Active Regular,0.0
12663,625,2,239.4,1,2,1,4,Lost,0,Churned,0.8455284552845529
12664,8,11,6070.04,5,5,5,15,Champions,1,Active Regular,0.009485094850948509
12665,325,3,313.6,2,3,2,7,At Risk,0,Churned,0.43902439024390244
12666,394,1,1248.42,2,1,4,7,At Risk,0,Churned,0.532520325203252
12667,58,1,620.13,4,1,3,8,At Risk,1,Active Regular,0.07723577235772358
12668,12,10,11383.03,5,5,5,15,Champions,1,Active Regular,0.014905149051490514
12669,151,3,2744.0299999999997,3,3,4,10,Loyal,1,Active Regular,0.2032520325203252
12670,10,7,3760.29,5,4,5,14,Champions,1,Active Regular,0.012195121951219513
12671,606,1,2622.481,1,1,4,6,At Risk,0,Churned,0.8197831978319783
12672,330,2,437.05,2,2,2,6,At Risk,0,Churned,0.44579945799457993
12673,5,3,1230.02,5,3,4,12,Champions,1,Active Regular,0.005420054200542005
12674,39,4,1970.6,4,3,4,11,Loyal,1,Active Regular,0.051490514905149054
12675,554,2,957.25,1,2,3,6,At Risk,0,Churned,0.7493224932249323
12676,25,11,2843.09,4,5,4,13,Champions,1,Active Regular,0.032520325203252036
12677,555,2,395.1,1,2,2,5,Lost,0,Churned,0.7506775067750677
12678,42,21,34281.18,4,5,5,14,Champions,2,High Value,0.05555555555555555
12679,59,4,1113.02,4,3,3,10,Loyal,1,Active Regular,0.07859078590785908
12680,1,4,880.81,5,3,3,11,Loyal,1,Active Regular,0.0
12681,15,45,29834.760000000002,5,5,5,15,Champions,2,High Value,0.018970189701897018
12682,4,52,22950.22,5,5,5,15,Champions,2,High Value,0.0040650406504065045
12683,4,21,11633.7,5,5,5,15,Champions,2,High Value,0.0040650406504065045
12684,8,7,2283.63,5,4,4,13,Champions,1,Active Regular,0.009485094850948509
12685,28,6,2863.08,4,4,4,12,Champions,1,Active Regular,0.036585365853658534
12686,372,1,89.14,2,1,1,4,Lost,0,Churned,0.502710027100271
